EBFFFBAL_00003	K07478
DINFKPHP_03222	K02988
DINFKPHP_03223	K02881
DINFKPHP_03224	K02933
DINFKPHP_03226	K02954
DINFKPHP_03227	K02931
DINFKPHP_03228	K02895
DINFKPHP_03229	K02874
DINFKPHP_03230	K02961
DINFKPHP_03232	K02878
DINFKPHP_03233	K02982
DINFKPHP_03235	K02965
DINFKPHP_03236	K02886
DINFKPHP_03238	K02926
DINFKPHP_03240	K02946
DINFKPHP_03256	K01916
DINFKPHP_03284	K13652
DINFKPHP_03293	K01588
DINFKPHP_03295	K01448
DINFKPHP_03324	K00012
DINFKPHP_03326	K01710
DINFKPHP_03328	K00973
DINFKPHP_03350	K18911
DINFKPHP_03363	K01277
DINFKPHP_03365	K17218
DINFKPHP_03371	K21053
DINFKPHP_03375	K07150
DINFKPHP_03379	K07133
DINFKPHP_03395	K08641
DINFKPHP_03398	K10457
DINFKPHP_03404	K02335
DINFKPHP_03429	K00954
DINFKPHP_03457	K12573
DINFKPHP_03465	K02401
DINFKPHP_03466	K02421
DINFKPHP_03488	K03650
DENAEJCE_00016	K00012
DENAEJCE_00028	K07317
DENAEJCE_00036	K13683
DENAEJCE_00041	K06996
DENAEJCE_00055	K18707
DENAEJCE_00067	K04763
DENAEJCE_00068	K01610
DENAEJCE_00069	K00874
DENAEJCE_00070	K01812
DENAEJCE_00083	K04496
DENAEJCE_00087	K02356
DENAEJCE_00098	K07486
DENAEJCE_00117	K03526
DENAEJCE_00118	K05650
DENAEJCE_00125	K01884
DENAEJCE_00128	K06990
DENAEJCE_00132	K07560
DENAEJCE_00136	K01338
DENAEJCE_00137	K02909
DENAEJCE_00141	K01104
DENAEJCE_00142	K00014
DENAEJCE_00144	K06665
DENAEJCE_00162	K01736
DENAEJCE_00163	K06933
DENAEJCE_00166	K07305
DENAEJCE_00182	K03322
DENAEJCE_00191	K01354
DENAEJCE_00197	K01113
DENAEJCE_00201	K01060
DENAEJCE_00224	K07164
DENAEJCE_00239	K00865
DENAEJCE_00241	K03386
DENAEJCE_00249	K01179
DENAEJCE_00250	K01179
DENAEJCE_00256	K20866
DENAEJCE_00260	K18197
DENAEJCE_00269	K00783
DENAEJCE_00276	K01890
DENAEJCE_00283	K02823
DENAEJCE_00284	K17828
DENAEJCE_00285	K09699
DENAEJCE_00287	K03839
DENAEJCE_00289	K01937
DENAEJCE_00292	K08324
DENAEJCE_00296	K07029
DENAEJCE_00306	K02636
DENAEJCE_00308	K01616
DENAEJCE_00310	K02003
DENAEJCE_00326	K02275
DENAEJCE_00336	K02115
DENAEJCE_00351	K01744
DENAEJCE_00355	K07056
DENAEJCE_00371	K06173
DENAEJCE_00372	K11927
DENAEJCE_00378	K06997
DENAEJCE_00379	K01665
DENAEJCE_00381	K01134
DENAEJCE_00402	K06970
DENAEJCE_00414	K10773
DENAEJCE_00415	K07238
DENAEJCE_00420	K19302
DENAEJCE_00424	K11784
DENAEJCE_00433	K01262
DENAEJCE_00438	K05970
DENAEJCE_00440	K00826
DENAEJCE_00446	K08660
DENAEJCE_00451	K07823
DENAEJCE_00452	K14085
DENAEJCE_00466	K00395
DENAEJCE_00467	K00394
DENAEJCE_00468	K16885
DENAEJCE_00469	K16886
DENAEJCE_00475	K12410
DENAEJCE_00476	K09181
DENAEJCE_00501	K00928
DENAEJCE_00510	K08737
DENAEJCE_00515	K14487
DENAEJCE_00516	K15519
DENAEJCE_00534	K00382
DENAEJCE_00536	K01462
DENAEJCE_00538	K01270
DENAEJCE_00541	K01759
DENAEJCE_00558	K01914
DENAEJCE_00572	K06178
DENAEJCE_00600	K03574
DENAEJCE_00602	K18954
DENAEJCE_00603	K00018
DENAEJCE_00604	K03453
DENAEJCE_00612	K01517
DENAEJCE_00617	K02959
DENAEJCE_00619	K01206
DENAEJCE_00626	K02621
DENAEJCE_00627	K00891
DENAEJCE_00628	K00088
DENAEJCE_00634	K00803
DENAEJCE_00635	K00111
DENAEJCE_00636	K01649
DENAEJCE_00666	K03183
DENAEJCE_00673	K08139
DENAEJCE_00676	K02956
DENAEJCE_00704	K01810
DENAEJCE_00705	K00058
DENAEJCE_00737	K03299
DENAEJCE_00738	K02854
DENAEJCE_00746	K00658
DENAEJCE_00748	K00024
DENAEJCE_00763	K01092
DENAEJCE_00771	K19294
DENAEJCE_00776	K01524
DENAEJCE_00788	K16698
DENAEJCE_00801	K03742
DENAEJCE_00802	K19158
DENAEJCE_00818	K06131
DENAEJCE_00837	K20790
DENAEJCE_00839	K03629
DENAEJCE_00841	K04653
DENAEJCE_00846	K01138
DENAEJCE_00848	K01695
DENAEJCE_00863	K07089
DENAEJCE_00866	K15083
DENAEJCE_00867	K16318
DENAEJCE_00869	K06903
DENAEJCE_00872	K00767
DENAEJCE_00875	K01712
DENAEJCE_00878	K01770
DENAEJCE_00884	K00826
DENAEJCE_00898	K00059
DENAEJCE_00901	K03696
DENAEJCE_00902	K02469
DENAEJCE_00916	K12257
DENAEJCE_00919	K09810
DENAEJCE_00924	K02429
DENAEJCE_00925	K00971
DENAEJCE_00928	K02529
DENAEJCE_00929	K19793
DENAEJCE_00948	K05657
DENAEJCE_00956	K03486
DENAEJCE_00975	K01154
DENAEJCE_00978	K01775
DENAEJCE_00980	K01916
DENAEJCE_00989	K22928
DENAEJCE_00995	K01426
DENAEJCE_01002	K05685
DENAEJCE_01012	K19158
DENAEJCE_01015	K01512
DENAEJCE_01043	K03820
DENAEJCE_01050	K06898
DENAEJCE_01051	K09121
DENAEJCE_01052	K06864
DENAEJCE_01059	K00036
DENAEJCE_01070	K01153
DENAEJCE_01071	K18581
DENAEJCE_01073	K13051
DENAEJCE_01075	K00819
DENAEJCE_01077	K01951
DENAEJCE_01078	K00973
DENAEJCE_01079	K08678
DENAEJCE_01096	K02501
DENAEJCE_01099	K00573
DENAEJCE_01113	K02485
DENAEJCE_01117	K03168
DENAEJCE_01137	K01358
DENAEJCE_01139	K03332
DENAEJCE_01161	K00010
DENAEJCE_01164	K09903
DENAEJCE_01165	K02838
DENAEJCE_01166	K00817
DENAEJCE_01167	K01089
DENAEJCE_01168	K01433
DENAEJCE_01178	K00860
DENAEJCE_01186	K14390
DENAEJCE_01206	K00384
DENAEJCE_01208	K09955
DENAEJCE_01210	K07001
DENAEJCE_01216	K01409
DENAEJCE_01219	K06206
DENAEJCE_01222	K00824
DENAEJCE_01232	K08956
DENAEJCE_01235	K00981
DENAEJCE_01236	K01613
DENAEJCE_01241	K03088
DENAEJCE_01250	K01143
DENAEJCE_01268	K00390
DENAEJCE_01303	K02440
DENAEJCE_01304	K00111
DENAEJCE_01305	K00864
DENAEJCE_01310	K00567
DENAEJCE_01316	K01069
DENAEJCE_01317	K00281
DENAEJCE_01330	K03407
DENAEJCE_01337	K01909
DENAEJCE_01345	K01209
DENAEJCE_01354	K11641
DENAEJCE_01358	K00950
DENAEJCE_01360	K06606
DENAEJCE_01370	K01785
DENAEJCE_01376	K07718
DENAEJCE_01396	K00762
DENAEJCE_01401	K01711
DENAEJCE_01405	K01654
DENAEJCE_01409	K12573
DENAEJCE_01414	K03574
DENAEJCE_01417	K07037
DENAEJCE_01425	K05387
DENAEJCE_01432	K01939
DENAEJCE_01433	K00763
DENAEJCE_01436	K07085
DENAEJCE_01437	K05995
DENAEJCE_01438	K04517
DENAEJCE_01440	K00128
DENAEJCE_01446	K16618
DENAEJCE_01452	K01136
DENAEJCE_01453	K03930
DENAEJCE_01459	K00604
DENAEJCE_01467	K03385
DENAEJCE_01482	K03592
DENAEJCE_01483	K03568
DENAEJCE_01486	K09740
DENAEJCE_01489	K07139
DENAEJCE_01490	K00606
DENAEJCE_01494	K04043
DENAEJCE_01495	K00275
DENAEJCE_01498	K03744
DENAEJCE_01507	K14274
DENAEJCE_01512	K01284
DENAEJCE_01515	K00459
DENAEJCE_01526	K01302
DENAEJCE_01533	K01520
DENAEJCE_01542	K07718
DENAEJCE_01543	K07705
DENAEJCE_01545	K03294
DENAEJCE_01558	K14388
DENAEJCE_01571	K02824
DENAEJCE_01572	K04069
DENAEJCE_01575	K03337
DENAEJCE_01608	K03386
DENAEJCE_01609	K04063
DENAEJCE_01613	K17382
DENAEJCE_01619	K07658
DENAEJCE_01632	K01869
DENAEJCE_01638	K03439
DENAEJCE_01640	K03593
DENAEJCE_01651	K15920
DENAEJCE_01654	K00046
DENAEJCE_01659	K01815
DENAEJCE_01660	K02529
DENAEJCE_01696	K00955
DENAEJCE_01719	K19079
DENAEJCE_01730	K01190
DENAEJCE_01737	K16795
DENAEJCE_01752	K01928
DENAEJCE_01764	K01990
DENAEJCE_01771	K00852
DENAEJCE_01784	K00681
DENAEJCE_01791	K03595
DENAEJCE_01792	K03977
DENAEJCE_01799	K02437
DENAEJCE_01800	K04567
DENAEJCE_01814	K03924
DENAEJCE_01818	K07114
DENAEJCE_01819	K01154
DENAEJCE_01820	K03427
DENAEJCE_01824	K03772
DENAEJCE_01825	K03772
DENAEJCE_01827	K09861
DENAEJCE_01834	K00067
DENAEJCE_01845	K03086
DENAEJCE_01846	K01783
DENAEJCE_01852	K03043
DENAEJCE_01855	K02863
DENAEJCE_01859	K02358
DENAEJCE_01863	K03733
DENAEJCE_01866	K03308
DENAEJCE_01868	K03307
DENAEJCE_01869	K00140
DENAEJCE_01870	K03335
DENAEJCE_01872	K01246
DENAEJCE_01880	K02316
DENAEJCE_01892	K03517
DENAEJCE_01899	K07079
DENAEJCE_01906	K01588
DENAEJCE_01908	K00939
DENAEJCE_01909	K00844
DENAEJCE_01914	K01903
DENAEJCE_01915	K01902
DENAEJCE_01924	K04077
DENAEJCE_01927	K13278
DENAEJCE_01933	K01876
DENAEJCE_01934	K11991
DENAEJCE_01935	K00979
DENAEJCE_01938	K09940
DENAEJCE_01939	K01892
DENAEJCE_01940	K01745
DENAEJCE_01950	K01959
DENAEJCE_01956	K00331
DENAEJCE_01969	K02117
DENAEJCE_01977	K14656
DENAEJCE_01980	K00600
DENAEJCE_01994	K14128
DENAEJCE_01995	K14126
DENAEJCE_02001	K16507
DENAEJCE_02004	K03336
DENAEJCE_02008	K00185
DENAEJCE_02022	K01727
DENAEJCE_02025	K03320
DENAEJCE_02026	K03718
DENAEJCE_02030	K06001
DENAEJCE_02031	K03800
DENAEJCE_02050	K16044
DENAEJCE_02056	K03522
DENAEJCE_02058	K02879
DENAEJCE_02059	K03040
DENAEJCE_02060	K02986
DENAEJCE_02062	K02952
DENAEJCE_02064	K02518
DENAEJCE_02068	K02988
DENAEJCE_02069	K02881
DENAEJCE_02071	K02994
DENAEJCE_02072	K02954
DENAEJCE_02074	K02895
DENAEJCE_02076	K02961
DENAEJCE_02078	K02878
DENAEJCE_02079	K02982
DENAEJCE_02081	K02965
DENAEJCE_02082	K02886
DENAEJCE_02084	K02926
DENAEJCE_02085	K02906
DENAEJCE_02086	K02946
DENAEJCE_02089	K02950
DENAEJCE_02091	K20344
DENAEJCE_02097	K03402
DENAEJCE_02098	K07404
DENAEJCE_02099	K06897
DENAEJCE_02100	K01495
DENAEJCE_02102	K11785
DENAEJCE_02105	K16055
DENAEJCE_02107	K03498
DENAEJCE_02110	K01462
DENAEJCE_02112	K02014
DENAEJCE_02114	K09979
DENAEJCE_02125	K02990
DENAEJCE_02126	K02963
DENAEJCE_02128	K09022
DENAEJCE_02133	K01814
DENAEJCE_02134	K02500
DENAEJCE_02135	K11755
DENAEJCE_02139	K03320
DENAEJCE_02152	K03551
DENAEJCE_02157	K07042
DENAEJCE_02160	K03596
DENAEJCE_02168	K03315
DENAEJCE_02184	K00925
DENAEJCE_02186	K00929
DENAEJCE_02191	K22900
DENAEJCE_02201	K00700
DENAEJCE_02212	K04014
DENAEJCE_02213	K04015
DENAEJCE_02220	K03327
DENAEJCE_02222	K06158
DENAEJCE_02223	K03215
DENAEJCE_02241	K07461
DENAEJCE_02246	K01593
DENAEJCE_02247	K14387
DENAEJCE_02249	K01206
DENAEJCE_02254	K00610
DENAEJCE_02255	K00609
DENAEJCE_02260	K02067
DENAEJCE_02263	K11754
DENAEJCE_02269	K06949
DENAEJCE_02282	K10207
DENAEJCE_02283	K00091
DENAEJCE_02292	K19265
DENAEJCE_02340	K00571
DENAEJCE_02384	K14652
DENAEJCE_02400	K13799
DENAEJCE_02401	K01579
DENAEJCE_02403	K04485
DENAEJCE_02405	K20810
DENAEJCE_02415	K03313
DENAEJCE_02420	K07069
DENAEJCE_02423	K00243
DENAEJCE_02430	K13566
DENAEJCE_02431	K00001
DENAEJCE_02445	K00560
DENAEJCE_02466	K07727
DENAEJCE_02469	K07304
DENAEJCE_02475	K03299
DENAEJCE_02486	K05569
DENAEJCE_02505	K06219
DENAEJCE_02518	K02100
DENAEJCE_02522	K00820
DENAEJCE_02523	K00645
DENAEJCE_02525	K00097
DENAEJCE_02526	K03550
DENAEJCE_02531	K00052
DENAEJCE_02535	K21053
DENAEJCE_02536	K10716
DENAEJCE_02546	K04564
DENAEJCE_02577	K03768
DENAEJCE_02585	K02563
DENAEJCE_02607	K07124
DENAEJCE_02611	K21430
DENAEJCE_02613	K00845
DENAEJCE_02614	K00656
DENAEJCE_02615	K04069
DENAEJCE_02624	K07137
DENAEJCE_02634	K00773
DENAEJCE_02636	K01619
DENAEJCE_02640	K01714
DENAEJCE_02642	K02342
DENAEJCE_02647	K07588
DENAEJCE_02653	K13888
DENAEJCE_02654	K03801
DENAEJCE_02660	K00149
DENAEJCE_02661	K01880
DENAEJCE_02664	K13016
DENAEJCE_02669	K00133
DENAEJCE_02683	K06213
DENAEJCE_02684	K02528
DENAEJCE_02702	K00532
DENAEJCE_02703	K05587
DENAEJCE_02708	K01200
DENAEJCE_02738	K00873
DENAEJCE_02746	K22132
DENAEJCE_02751	K00651
DENAEJCE_02752	K17069
DENAEJCE_02770	K00059
DENAEJCE_02774	K01336
DENAEJCE_02776	K03656
DENAEJCE_02781	K20174
DENAEJCE_02807	K01893
DENAEJCE_02808	K03092
DENAEJCE_02811	K02871
DENAEJCE_02812	K02996
DENAEJCE_02814	K02357
DENAEJCE_02823	K13018
DENAEJCE_02824	K12311
DENAEJCE_02826	K00693
DENAEJCE_02830	K00806
DENAEJCE_02834	K03474
DENAEJCE_02845	K07718
DENAEJCE_02856	K06201
DENAEJCE_02861	K08303
DENAEJCE_02897	K01136
DENAEJCE_02919	K22129
DENAEJCE_02920	K22024
DENAEJCE_02923	K00945
DENAEJCE_02936	K08734
DENAEJCE_02940	K02564
DENAEJCE_02941	K00895
DENAEJCE_02950	K10543
DENAEJCE_02956	K00942
DENAEJCE_02967	K01565
DENAEJCE_02968	K01186
DENAEJCE_02983	K07668
DENAEJCE_02989	K01444
DENAEJCE_02990	K13420
DENAEJCE_02991	K03534
DENAEJCE_02992	K02856
DENAEJCE_03004	K02013
DENAEJCE_03005	K02015
DENAEJCE_03021	K15923
DENAEJCE_03022	K01517
DENAEJCE_03045	K03497
DENAEJCE_03048	K07718
DENAEJCE_03057	K00849
DENAEJCE_03060	K01434
DENAEJCE_03079	K01138
DENAEJCE_03101	K03470
DENAEJCE_03102	K10206
DENAEJCE_03104	K00259
DENAEJCE_03106	K08999
DENAEJCE_03123	K04069
DENAEJCE_03128	K01708
DENAEJCE_03129	K00042
DENAEJCE_03130	K09477
DENAEJCE_03132	K14157
DENAEJCE_03136	K22224
DENAEJCE_03137	K02564
DENAEJCE_03141	K06168
DENAEJCE_03154	K01754
DENAEJCE_03161	K00099
DENAEJCE_03166	K11102
DENAEJCE_03174	K06223
DENAEJCE_03176	K15378
DENAEJCE_03177	K00691
DENAEJCE_03178	K01176
DENAEJCE_03179	K07456
DENAEJCE_03180	K02014
DENAEJCE_03190	K12660
DENAEJCE_03217	K00963
DENAEJCE_03218	K16190
DENAEJCE_03226	K09955
DENAEJCE_03227	K01874
DENAEJCE_03228	K01091
DENAEJCE_03229	K01297
DENAEJCE_03243	K13490
DENAEJCE_03245	K13491
DENAEJCE_03246	K09097
DENAEJCE_03248	K03752
DENAEJCE_03251	K17218
DENAEJCE_03253	K09816
DENAEJCE_03254	K09817
DENAEJCE_03255	K09815
DENAEJCE_03256	K06861
DENAEJCE_03260	K01153
DENAEJCE_03281	K00349
DENAEJCE_03282	K00350
DENAEJCE_03292	K02477
DENAEJCE_03301	K01214
DENAEJCE_03316	K03511
DENAEJCE_03326	K12524
DENAEJCE_03327	K03553
DENAEJCE_03330	K08352
DENAEJCE_03334	K01633
DENAEJCE_03335	K01886
DENAEJCE_03348	K01218
DENAEJCE_03354	K07589
DENAEJCE_03356	K11717
DENAEJCE_03370	K02372
DENAEJCE_03372	K00946
DENAEJCE_03373	K09014
DENAEJCE_03374	K09013
DENAEJCE_03384	K01710
DENAEJCE_03391	K08191
DENAEJCE_03394	K07154
DENAEJCE_03409	K01258
DENAEJCE_03411	K01881
DENAEJCE_03415	K00432
DENAEJCE_03416	K02343
DENAEJCE_03427	K01787
DENAEJCE_03428	K03307
DENAEJCE_03429	K01639
DENAEJCE_03435	K01186
DENAEJCE_03437	K01889
DENAEJCE_03446	K07391
DENAEJCE_03456	K00575
DENAEJCE_03462	K02426
DENAEJCE_03477	K07668
DENAEJCE_03480	K15460
DENAEJCE_03488	K06148
DENAEJCE_03492	K18682
DENAEJCE_03495	K07681
DENAEJCE_03496	K00008
DENAEJCE_03501	K02314
DENAEJCE_03526	K09458
DENAEJCE_03528	K11175
DENAEJCE_03535	K01738
DENAEJCE_03547	K01804
DENAEJCE_03553	K15532
DENAEJCE_03561	K01077
NGPLKGKP_00002	K02835
NGPLKGKP_00009	K02337
NGPLKGKP_00063	K01953
NGPLKGKP_00079	K09812
NGPLKGKP_00090	K10563
NGPLKGKP_00096	K03070
NGPLKGKP_00104	K00604
NGPLKGKP_00105	K01462
NGPLKGKP_00120	K06871
NGPLKGKP_00123	K04046
NGPLKGKP_00134	K01897
NGPLKGKP_00135	K00652
NGPLKGKP_00145	K15633
NGPLKGKP_00149	K03531
NGPLKGKP_00158	K09117
NGPLKGKP_00160	K01892
NGPLKGKP_00161	K03100
NGPLKGKP_00166	K01255
NGPLKGKP_00173	K01893
NGPLKGKP_00178	K06178
NGPLKGKP_00183	K07462
NGPLKGKP_00194	K05364
NGPLKGKP_00195	K03624
NGPLKGKP_00199	K00996
NGPLKGKP_00220	K00806
NGPLKGKP_00224	K03074
NGPLKGKP_00234	K03695
NGPLKGKP_00268	K01246
NGPLKGKP_00269	K00554
NGPLKGKP_00274	K03529
NGPLKGKP_00276	K03685
NGPLKGKP_00277	K03625
NGPLKGKP_00294	K00260
NGPLKGKP_00295	K00384
NGPLKGKP_00296	K03671
NGPLKGKP_00306	K08998
NGPLKGKP_00310	K02338
NGPLKGKP_00315	K03550
NGPLKGKP_00320	K03043
NGPLKGKP_00321	K03046
NGPLKGKP_00322	K03466
NGPLKGKP_00331	K02948
NGPLKGKP_00332	K02952
NGPLKGKP_00334	K02518
NGPLKGKP_00335	K00075
NGPLKGKP_00338	K01507
NGPLKGKP_00341	K01925
NGPLKGKP_00349	K01710
NGPLKGKP_00353	K00743
NGPLKGKP_00382	K03438
NGPLKGKP_00383	K03925
NGPLKGKP_00390	K02935
NGPLKGKP_00391	K02864
NGPLKGKP_00392	K07082
NGPLKGKP_00401	K03701
NGPLKGKP_00403	K02035
NGPLKGKP_00404	K12574
NGPLKGKP_00419	K00600
NGPLKGKP_00429	K19788
NGPLKGKP_00435	K07568
NGPLKGKP_00436	K09765
NGPLKGKP_00445	K14713
NGPLKGKP_00459	K00791
NGPLKGKP_00464	K01520
NGPLKGKP_00467	K00859
NGPLKGKP_00469	K07043
NGPLKGKP_00494	K22916
NGPLKGKP_00497	K01784
NGPLKGKP_00511	K02005
NGPLKGKP_00517	K13993
NGPLKGKP_00520	K03686
NGPLKGKP_00540	K01880
NGPLKGKP_00551	K03424
NGPLKGKP_00562	K02111
NGPLKGKP_00564	K02112
NGPLKGKP_00565	K02114
NGPLKGKP_00576	K02601
NGPLKGKP_00582	K01624
NGPLKGKP_00588	K01159
NGPLKGKP_00593	K00703
NGPLKGKP_00594	K00965
NGPLKGKP_00602	K02335
NGPLKGKP_00607	K07478
NGPLKGKP_00608	K03545
NGPLKGKP_00609	K01507
NGPLKGKP_00610	K02600
NGPLKGKP_00621	K00820
NGPLKGKP_00627	K02355
NGPLKGKP_00632	K02358
NGPLKGKP_00633	K02946
NGPLKGKP_00635	K02926
NGPLKGKP_00636	K02892
NGPLKGKP_00639	K02982
NGPLKGKP_00644	K02895
NGPLKGKP_00646	K02954
NGPLKGKP_00648	K02933
NGPLKGKP_00652	K03076
NGPLKGKP_00656	K02851
NGPLKGKP_00683	K01885
NGPLKGKP_00693	K01875
NGPLKGKP_00694	K12736
NGPLKGKP_00696	K04567
NGPLKGKP_00708	K00615
NGPLKGKP_00714	K01784
NGPLKGKP_00719	K05387
NGPLKGKP_00725	K00459
NGPLKGKP_00738	K06207
NGPLKGKP_00752	K15255
NGPLKGKP_00754	K13292
NGPLKGKP_00756	K02433
NGPLKGKP_00795	K01207
NGPLKGKP_00801	K14716
NGPLKGKP_00807	K04564
NGPLKGKP_00808	K03386
NGPLKGKP_00828	K03655
NGPLKGKP_00835	K06941
NGPLKGKP_00856	K01356
NGPLKGKP_00864	K00760
NGPLKGKP_00867	K03797
NGPLKGKP_00869	K01937
NGPLKGKP_00870	K01587
NGPLKGKP_00894	K04096
NGPLKGKP_00897	K03168
NGPLKGKP_00898	K00951
NGPLKGKP_00902	K08259
NGPLKGKP_00906	K01512
NGPLKGKP_00915	K12823
NGPLKGKP_00925	K01533
NGPLKGKP_00963	K06287
NGPLKGKP_00965	K01358
NGPLKGKP_00966	K18682
NGPLKGKP_00975	K00962
NGPLKGKP_00976	K02956
NGPLKGKP_00982	K06910
NGPLKGKP_00990	K03551
NGPLKGKP_00991	K02469
NGPLKGKP_00994	K14792
NGPLKGKP_00995	K03798
NGPLKGKP_01001	K06925
NGPLKGKP_01005	K03439
NGPLKGKP_01043	K00174
NGPLKGKP_01064	K01007
NGPLKGKP_01075	K03437
NGPLKGKP_01079	K00567
NGPLKGKP_01080	K02316
NGPLKGKP_01092	K00763
NGPLKGKP_01095	K18893
ALJPOFII_00008	K08973
ALJPOFII_00011	K01733
ALJPOFII_00012	K00003
ALJPOFII_00013	K08311
ALJPOFII_00016	K00791
ALJPOFII_00017	K00523
ALJPOFII_00018	K22066
ALJPOFII_00019	K08307
ALJPOFII_00023	K00075
ALJPOFII_00024	K01924
ALJPOFII_00025	K01770
ALJPOFII_00031	K03687
ALJPOFII_00032	K00858
ALJPOFII_00034	K17218
ALJPOFII_00036	K02108
ALJPOFII_00037	K02110
ALJPOFII_00040	K02111
ALJPOFII_00041	K02115
ALJPOFII_00042	K02112
ALJPOFII_00043	K02114
ALJPOFII_00045	K03270
ALJPOFII_00046	K03806
ALJPOFII_00048	K03217
ALJPOFII_00051	K04096
ALJPOFII_00052	K03747
ALJPOFII_00053	K03168
ALJPOFII_00056	K01817
ALJPOFII_00057	K01696
ALJPOFII_00061	K04042
ALJPOFII_00063	K17686
ALJPOFII_00064	K02909
ALJPOFII_00065	K01599
ALJPOFII_00066	K01695
ALJPOFII_00067	K01963
ALJPOFII_00069	K03527
ALJPOFII_00071	K08591
ALJPOFII_00072	K01633
ALJPOFII_00074	K03673
ALJPOFII_00076	K00817
ALJPOFII_00079	K01693
ALJPOFII_00080	K02501
ALJPOFII_00082	K10773
ALJPOFII_00084	K03704
ALJPOFII_00085	K05592
ALJPOFII_00087	K22132
ALJPOFII_00089	K02871
ALJPOFII_00093	K00057
ALJPOFII_00096	K01664
ALJPOFII_00104	K00605
ALJPOFII_00106	K01147
ALJPOFII_00108	K03768
ALJPOFII_00109	K02888
ALJPOFII_00111	K00765
ALJPOFII_00112	K00790
ALJPOFII_00121	K04567
ALJPOFII_00127	K06181
ALJPOFII_00129	K03664
ALJPOFII_00130	K03530
ALJPOFII_00131	K00940
ALJPOFII_00132	K06941
ALJPOFII_00134	K03526
ALJPOFII_00135	K09928
ALJPOFII_00136	K01662
ALJPOFII_00137	K08303
ALJPOFII_00140	K07043
ALJPOFII_00141	K01952
ALJPOFII_00143	K03517
ALJPOFII_00144	K01876
ALJPOFII_00146	K01265
ALJPOFII_00147	K03799
ALJPOFII_00156	K03182
ALJPOFII_00157	K02342
ALJPOFII_00160	K03417
ALJPOFII_00161	K01659
ALJPOFII_00162	K20455
ALJPOFII_00163	K09788
ALJPOFII_00166	K02939
ALJPOFII_00171	K00265
ALJPOFII_00173	K00287
ALJPOFII_00175	K03723
ALJPOFII_00176	K00817
ALJPOFII_00184	K03306
ALJPOFII_00187	K11927
ALJPOFII_00188	K05801
ALJPOFII_00192	K01866
ALJPOFII_00193	K00147
ALJPOFII_00194	K02340
ALJPOFII_00197	K00796
ALJPOFII_00200	K05800
ALJPOFII_00205	K03614
ALJPOFII_00207	K07568
ALJPOFII_00211	K01902
ALJPOFII_00213	K02356
ALJPOFII_00215	K07126
ALJPOFII_00224	K00658
ALJPOFII_00225	K01616
ALJPOFII_00228	K00525
ALJPOFII_00229	K00526
ALJPOFII_00231	K06917
ALJPOFII_00232	K01008
ALJPOFII_00241	K09781
ALJPOFII_00242	K07160
ALJPOFII_00244	K06350
ALJPOFII_00253	K11175
ALJPOFII_00254	K01933
ALJPOFII_00258	K01716
ALJPOFII_00259	K10764
ALJPOFII_00261	K03147
ALJPOFII_00264	K03979
ALJPOFII_00266	K00950
ALJPOFII_00267	K00606
ALJPOFII_00268	K01918
ALJPOFII_00271	K00946
ALJPOFII_00272	K06204
ALJPOFII_00274	K01754
ALJPOFII_00276	K00031
ALJPOFII_00284	K09748
ALJPOFII_00285	K02600
ALJPOFII_00288	K03722
ALJPOFII_00289	K03498
ALJPOFII_00294	K01507
ALJPOFII_00296	K00954
ALJPOFII_00297	K04043
ALJPOFII_00298	K03686
ALJPOFII_00299	K01689
ALJPOFII_00301	K01613
ALJPOFII_00302	K01881
ALJPOFII_00304	K08997
ALJPOFII_00305	K02434
ALJPOFII_00306	K02433
ALJPOFII_00309	K01735
ALJPOFII_00310	K01870
ALJPOFII_00313	K06178
ALJPOFII_00315	K03525
ALJPOFII_00317	K19221
ALJPOFII_00319	K04485
ALJPOFII_00320	K07738
ALJPOFII_00321	K00600
ALJPOFII_00323	K11996
ALJPOFII_00335	K07460
ALJPOFII_00336	K07056
ALJPOFII_00338	K00859
ALJPOFII_00343	K00928
ALJPOFII_00344	K00826
ALJPOFII_00346	K00891
ALJPOFII_00351	K02238
ALJPOFII_00352	K01598
ALJPOFII_00353	K11752
ALJPOFII_00354	K03553
ALJPOFII_00357	K00773
ALJPOFII_00359	K05515
ALJPOFII_00363	K02567
ALJPOFII_00364	K02568
ALJPOFII_00365	K02572
ALJPOFII_00377	K00569
ALJPOFII_00381	K00766
ALJPOFII_00385	K03088
ALJPOFII_00390	K01652
ALJPOFII_00392	K06148
ALJPOFII_00393	K01937
ALJPOFII_00397	K01892
ALJPOFII_00402	K00297
ALJPOFII_00403	K02518
ALJPOFII_00407	K01572
ALJPOFII_00410	K02004
ALJPOFII_00412	K00912
ALJPOFII_00414	K00979
ALJPOFII_00415	K01491
ALJPOFII_00418	K01589
ALJPOFII_00419	K01588
ALJPOFII_00428	K09580
ALJPOFII_00432	K07560
ALJPOFII_00439	K07107
ALJPOFII_00440	K03551
ALJPOFII_00442	K02492
ALJPOFII_00443	K02835
ALJPOFII_00445	K03711
ALJPOFII_00449	K00789
ALJPOFII_00450	K01251
ALJPOFII_00452	K01878
ALJPOFII_00455	K22047
ALJPOFII_00461	K06217
ALJPOFII_00462	K00566
ALJPOFII_00464	K02335
ALJPOFII_00469	K00371
ALJPOFII_00470	K00373
ALJPOFII_00471	K00374
ALJPOFII_00477	K03639
ALJPOFII_00478	K03637
